objectid,fullname,birth,death,birth_place,death_place,keywords,short_description,description,resources,contributor,image,oldlink
iwi-13,Belle Sweet,1879-01-05,1964,"Garden Prairie, IL","Portland, OR",Librarian;Educator,"Belle Sweet became the University of Idaho's first professionally trained librarian when she began her position in 1905. At her retirement in 1948, she had compiled the state's largest library for 43 years. During her time at Idaho, Belle offered classes in library science and advocated for the creation of a Special Collections department and a better library space.","Mary Belle Sweet was the University of Idaho's first professionally trained librarian when she was hired in 1905. At 26, Sweet had recently graduated from the University of Illinois Library School. <br><br> Unfortunately, soon after her arrival a great tragedy struck the University of Idaho when the library was destroyed in the March 1906 Administration Building fire. The entire library of about 12,000 volumes was completely lost. The library was temporarily housed in the gymnasium and Sweet immediately began re-building the collection, beginning with the 738 books that had been checked out at the time of the fire. Through a dedicated letter-writing campaign, Belle was able to secure over 1000 new books and $1,866 in donations for the library. <br><br> Once Ms. Sweet had brought the library back to good health, she began several other initiatives, including the implementation of a card catalog system and the beginning of an archive of Northwest historical materials. This archival collection, first stored in free space behind the stairs, later became the renowned University of Idaho Special Collections and Archives. <br><br> At her retirement in 1948, she had compiled the state's largest library for 43 years.","<a href=""http://www.lib.uidaho.edu/history/takingroot/index.htm"">A brief history of the University of Idaho Library</a>",Annie Gaines,sweet.jpg,https://journals.lib.uidaho.edu/index.php/IWI/belle-sweet
iwi-26,Margaret Cobb Ailshie,1883-03-27,1959-08-26,"Chicago, IL","Boise, ID",Philanthropist;Publisher,"Margaret Ailshie was the first female publisher for the Idaho Statesman from 1928-1959, following in the footsteps of her father, who purchased the Statesman in the late 1880s. Under her leadership, the newspaper began publishing an evening paper and expanded its circulation significantly. In addition to her time at the Statesman, Margaret travelled abroad to serve as a member of the Red Cross during World War I and supported many Boise projects including the Julia Davis Park pioneer village and the cosntruction of Bronco Stadium.","Although born in Chicago in 1883, Margaret moved to Idaho at the age of six when her father, Calvin Cobb, bought the Idaho Statesman. Margaret was raised a socialite and went to Miss Porter's Boarding School in Farmington, Connecticut. She also travelled abroad to France in World War I as a member of the Red Cross. She returned to Idaho at the age of 36, in 1919. After her father died in 1928, she took over her father's duties and remained the publisher of the Idaho Statesman until 1959. <br><br> Margaret was the first female publisher for the Idaho Statesman. In 1942, she led the Statesman to produce and evening paper, and led the paper to reach a circulation goal of 50,000 for the Sunday edition. The newspaper achieved a daily circulation of 30,000 in the early 1940s under her leadership and became one of the premier newspapers in the Northwest. <br><br> In addition to following her father's footsteps with the newspaper, Margaret also continued his civil campaigns and focus on Boise. Her father had campaigned for civic improvements to Boise, and the Statesman is credited with bringing the telegraph and telephone to Boise as well as the Union Pacific Railroad. Margaret supported many civic enterprises and contributed to numerous Boise charitable, religious, and educational organizations. She also often supported and attended the annual Boise Basque Ball held during the holiday season. <br><br> Margaret was a driving force behind the construction of Bronco Stadium at Boise Junior College (now Boise State University). The Statesman, under Margaret's direction, advanced almost the entire cost of building the stadium. Another project Margaret felt deeply about was the restoration of pioneer cabins and early vehicles on display in Julia Davis Park. Margaret planned and supervised the restoration of the buildings and vehicles. Near the end of her life, she incorporated the Margaret Cobb Ailshie Trust, with the hope of creating a perpetual source of funding for Boise charities and educational institutions. The first distribution of funds from her trust was made in 1961, providing $25,000 to Idaho hospitals, orphanages, colleges, and the Boise chapter of the American Red Cross.","<a href=""http://en.wikipedia.org/wiki/Margaret_Cobb_Ailshie"">Wikipedia - Margaret Cobb Ailshie</a>|<a href=""http://idahohistory.cdmhost.com/cdm/ref/collection/p265501coll4/id/415"">Guide to the Margaret Cobb Ailshie Papers</a> - Idaho State Historical Society|Bragg, Lynn E. <em>More than Petticoats: Remarkable Idaho Women</em>, 2001.|<a href=""http://www.history.idaho.gov/sites/default/files/uploads/reference-series/0734.pdf"">Margaret Cobb Ailshie</a> - Idaho State Historical Society Reference Series|""The Press: Logic,"" Time Magazine. August 5, 1946.",Shonda Reynolds,Ailshie.jpg,https://journals.lib.uidaho.edu/index.php/IWI/margaret-ailshie
iwi-17,Margaret Ritchie,1895,1986-01-07,"Bay City, MI","Moscow, ID",Educator,"Margaret Ritchie served as the Head of the Home Economics department at the University of Idaho from 1938 until 1959, and continued to teach until forced to retire in 1965. An active in university, community, and professional affairs during her 47 years in Moscow and served on the board of Church Women United and was active in Meals on Wheels and the Moscow Chamber of Commerce. The University of Idaho School of Family and Consumer Sciences in named in her honor.","Margaret Ritchie spent her early life in Bay City, Michigan and received a diploma from Skidmore School in Saratoga Springs, New York in 1916 and attended Columbia University Teachers College in New York City where she received her B.S. degree in 1918 and her M.A. in 1930. <br><br> Margaret was an assistant instructor of foods and chemistry at Columbia before joining the home economics staff at Battle Creek College in Michigan, where she taught for 18 years, eventually becoming the director of the home economics department. Ritchie came to the University of Idaho in 1938 as Head of Home Economics. She retired as department head in 1959, but continued to teach until forced to retire due to age in 1965. She then taught at California Polytechnic College in Pomona until 1968. <br><br> An active member of the University of Idaho and Moscow, Idaho communities, Margaret was a member and officer in many organizations including the Home Economics Association, Idaho Home Economics Association, American Dietetics Association, and Moscow Dieticians Group. She served on the board of Church Women United and was active in Meals on Wheels and the Moscow Chamber of Commerce. She was also a member of the American Association of University Women and the PEO Sisterhood. The University of Idaho Margaret Ritchie School of Family and Consumer Sciences is named in her honor.","<a href=""http://nwda.orbiscascade.org/ark:/80444/xv99527"">Guide to the Margaret Ritchie Papers</a>",Annie Gaines,ritchie.jpg,https://journals.lib.uidaho.edu/index.php/IWI/margaret-ritchie
iwi-4,Carol Ryrie Brink (Caroline Sybil Ryrie),1895-12-28,1981-08-15,"Moscow, ID","La Jolla, CA",Author,"A Newberry Medal winning author, Carol Ryrie Brink was born in Moscow, Idaho and attended the University of Idaho from 1914-1917. After graduating from the University of California Berkeley, Brink moved to St. Paul to join her new husband. Her first novel, <em>Anything Can Happen</em>, was published in 1934. Her novel <em>Caddie Woodlawn</em> received the Newberry Medal in 1936 and a Lewis Carroll Shelf Award in 1958.","Carol Ryrie Brink is the author of over thirty juvenile and adult books, including Newberry Award winning <em>Caddie Woodlawn</em>. Carol was orphaned after her father died in 1900 and her mother committed suicide in 1904, and was raised by her maternal grandmother, Caroline Woodhouse Watkins. She attended the University of Idaho for three years, where she wrote for The Argonaut student newspaper and the Gem of the Mountains yearbook, before transferring to the University of California Berkeley for her senior year. She graduated Phi Beta Kappa in 1918, and that same year she married Raymond W. Brink, a young mathematics professor she had met in Moscow, Idaho many years before. <br><br> After moving to St. Paul, Minnesota with her husband, Carol's first novel, <em>Anything Can Happen on the River</em>, was published in 1934. Her novel <em>Caddie Woodlawn</em> won the Newberry Medal in 1936. Carol was awarded an honorary doctorate of letters from the University of Idaho in 1965. Brink Hall, a building on the University of Idaho campus that houses the English department, was named for her shortly after her death. 'Carol Ryrie Brink Nature Park' on the east side of Moscow was dedicated during a centennial celebration of her birth in 1995. Additionally, the children's section of the Moscow Public Library contains the 'Carol Ryrie Brink Reading Room.'","<a href=""http://en.wikipedia.org/wiki/Carol_Ryrie_Brink"">Wikipedia: Carol Ryrie Brink</a>|<a href=""http://www.imdb.com/name/nm0109539/bio"">IMDB: Carol Ryrie Brink</a>|<a href=""https://finearts.boisestate.edu/concerts/permanent-collections/idaho-pioneers/carol-ryrie-brink/"">Carol Ryrie Brink</a>, Boise State University - Student Union Fine Arts Permanent Collections|<a href=""http://www.history.idaho.gov/sites/default/files/uploads/reference-series/1134.pdf"">Carol Ryrie Brink</a>, Idaho State Historical Society Reference Series, January 1996",Annie Gaines,brink.jpg,https://journals.lib.uidaho.edu/index.php/IWI/carol-brink
iwi-10,Lee Morse (Lena Corinne Taylor),1897-11-30,1954-12-16,"Portland, OR","Rochester, NY",Musician;Artist,"A jazz and blues singer and songwriter popular in the 1920s and early 1930s, Lee spent her early years in Kooskia, Idaho before becoming a successful vaudeville singer on the west coast. In addition to being a popular vocalist at the time, Lee was also an actress in a number of musical film shorts in the 1930s and starred in a broadway play.","Born in Oregon as the youngest of twelve children, Lena Corinne Taylor spent her early years in the small town of Kooskia, Idaho with a musical family. She learned to sing by the age of three by impersonating her older brothers, which helped her to later master deeper registers in her vocal range. <br><br> Lena's first professional performance happened in 1918, when she performed under her married name, ""Mrs. Elmer Morse,"" at a local silent movie house. During the next few years, she played in many small Pacific Northwest towns. During a visit to San Francisco with her father, a delegate to the Democratic Convention in 1920, she performed at the Hotel St. Francis and caught the eye of famous vaudeville producer Will King, who quickly signed her to a contract. With her career ahead of her, Lee left Kooskia and her husband behind for good. (Her husband, Elmer, would later file for divorce on the grounds of desertion in 1925 and lose custody of his son, Jack) <br><br> In 1921, Lee began working in musical revues and in 1922 she joined the Pantages circuit with a 15-minute act where she sang baritone, bass, and soprano in one set. In 1923, she won a role in the touring version of the musical revue Hitchy Koo and later that year performed in the Shubert revue <em>Artists and Models</em> on Broadway. <br><br> In 1924, Morse signed a recording contract with the Pathe label, who allowed her the opportunity to experiment and record her own compositions. On many of these early recordings, she whoops, yips, and yodels. After moving to the Columbia label in 1927, Lee became one of the label's most popular female performers and secured a role in Ziegfeld's <em>Simple Simon</em>, but her alcoholism left her unable to perform and her once promising Broadway career came to an end. <br><br>","<a href=""http://www.ijc.uidaho.edu/morse_lee/index.html"">International Jazz Collections - Lee Morse Collection</a>, University of Idaho Library|<a href=""https://en.wikipedia.org/wiki/Lee_Morse"">Wikipedia - Lee Morse""</a>|<a href=""http://www.imdb.com/name/nm1016026/"">IMDB - Lee Morse""</a>|<a href=""http://www.cdapress.com/columns/syd_albright/article_6806bd90-d807-11e4-a2d4-ef2274c994d5.html"">Idaho's little songbird with the big voice</a>, Syd Albright. Coeur d'Alene Press, March 31, 2015.",Annie Gaines,morse.jpg,https://journals.lib.uidaho.edu/index.php/IWI/lee-morse
iwi-7,Dorice Taylor,1901-06-11,1987-12-23,"Dubois, PA","Sun Valley, ID",Promoter;Author,"Some say the Union Pacific Railroad made Sun Valley an international destination, but a lot of old timers there say it was really their employee, Dorice, whose vision, energy and promotional work made everything happen. Dorice was a 1971 recipient of the ski writers' ""Golden Quill"" award. Additionally she published <em>Sun Valley</em> in her 80s and was inducted into the U.S. Ski and Snowboard Hall of Fame in 1984.","Some say the Union Pacific Railroad made Sun Valley an international destination, but a lot of old timers there say it was really their employee, Dorice Taylor, whose vision, energy and promotional work made everything happen. A graduate of Smith College and a teacher, Dorice and her husband took many trips to Sun Valley starting in 1937 and after World War II she became its director of public relations where she kept Sun Valley connected with the rest of the skiing world. <br><br> Dorice was a 1971 recipient of the ski writers' ""Golden Quill"" award. Additionally she published <em>Sun Valley</em>, a memoir, in her 80s and was inducted into the U.S. Ski and Snowboard Hall of Fame in 1984.","<a href=""http://www.skihall.com/index.php?_a=document&amp;doc_id=11&amp;id=322"">U.S. Ski and Snowboard Hall of Fame and Museum</a>|<em>Sun Valley</em>, Dorice Taylor, 1980.",Mike Bullard,taylor.jpg,https://journals.lib.uidaho.edu/index.php/IWI/dorice-taylor
iwi-16,Mary Kirkwood,1905,1995-06-17,Oregon,"Moscow, ID",Artist,"Born in Oregon and raised in Montana, Mary Kirkwood displayed a natural talent for the arts and went on to study art at the University of Montana, the University of Oregon, and the Royal Art School in Sweden. Mary began her 40 year teaching career at the University of Idaho in 1930.","Born in Oregon and raised in Montana, Mary Kirkwood earned a bachelor of arts degree from the University of Montana and a master of fine arts degree from the University of Oregon. She also completed graduate work at the Royal Art School at Stockholm, Sweden and the College of Art Study Abroad in Paris. <br><br> In 1930 she joined the faculty at the University of Idaho as a professor of painting, composition, and history of painting. Kirkwood was described as an inspirational teacher and encouraged her former students to strive for greater artistic development. <br><br> ""Painting the human figure is to me more than satisfying,"" Kirkwood wrote in an artist's statement. ""After some confusion in earlier years about keeping up with the changing movements, I came to realize that painting was more than a body of knowledge or even a way of thinking; it was a way of feeling, and feeling could not be altered casually by events outside of one's own nature or the vital experience that had roots in one's youth.""","""Mary Burnett Kirkwood, 90, well-known painter,"" Lewiston Tribune: June 27, 1995|""Moscow artist's legacy lives on in work, students."" Moscow-Pullman Daily News: June 29, 1995|<a href=""http://nwda.orbiscascade.org/ark:/80444/xv43304"">Guide to the Mary Kirkwood Christmas Card Collection</a>",Annie Gaines,kirkwood.jpg,https://journals.lib.uidaho.edu/index.php/IWI/mary-kirkwood
iwi-18,Gracie Bowers Pfost,1906-03-12,1965-08-11,"Harrison, AK","Baltimore, MD",Politician,"Gracie Pfost was the first woman to represent the state of Idaho in the United States Congress. She served five terms as a Democrat in the House of Representatives from 1953 to 1963. After Gracie moved to Idaho with her family, she became a milk analyst at a dairy in Nampa before attending business college in Boise. Both Gracie and her husband are burried in Meridian, Idaho.","Born in a log cabin in Arkansas, Pfost was five years old when her parents moved to a farm near Boise, Idaho in 1911. She quit Meridian High School at 16 and worked as a milk analyist at a dairy in Nampa. The next year she married her supervisor, Jack Pfost, and the two would go on to run a real estate business in the 1940s and 1950s. Gracie graduated from Link's Business College in Boise in 1929. <br><br> Pfost entered politics in Canyon County, where she held several positions in county government between 1929 and 1951 including deputy county clerk, auditor, recorder of deeds, and county treasurer. She also served as an Idaho delegate to all Democratic National Conventions between 1944 and 1960. <br><br> Gracie first ran for congress in 1950, but lost to the Republican candidate. She successfully ran in 1952 and was re-elected in 1954, 1956, 1958, and 1960. Nicknamed the ""Hell's Belle"" of Congress for fighting for a large federal dam on the Snake River in Hells Canyon. Pfost attempted to run for Henry Dworshak's Senate seat in 1962, but was narrowly defeated by the Republican candidate. <br><br> After leaving the House in 1963, Pfost remained in Washington, D.C. and worked for the Federal Housing Administration as a special assistant on housing for the elderly. Gracie fell ill in Washington, and was eventually diagnosed with Hodgkin's disease.","<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000287"">Biographical Directory of the United States Congress: Gracie Pfost</a>|<a href=""http://en.wikipedia.org/wiki/Gracie_Pfost"">Wikipedia - Gracie Pfost</a>",Mike Bullard,pfost.jpg,https://journals.lib.uidaho.edu/index.php/IWI/gracie-pfost
iwi-19,Verda Rebecca White Barnes,1907-02-23,1980-06-06,"Willard, UT","Washington, D.C.",Politician,Verda Barnes was the Chief Administrative Assistant for U.S. Senator Frank Church for all 4 terms of his office. Her ties to the LDS Church allowed Senator Church to be accepted in Southern Idaho where membership in the Church is high. Verda was one of the first woman to have this kind of position for a Senator. She is said to have been one of the most powerful women on Capitol Hill during that time.,"Verda grew up on a farm near St. Anthony, Idaho. After graduating from high school, she attended Albion Normal School and then Brigham Young University. Verda married briefly in the 1930s and had a daughter, and spent much of her time as a single mother in Boise. After the repeal of prohibition, Verda became the first director of the newly formed Idaho Liquor Commission. <br><br> After receiving a letter from James Farley, the Postmaster General and chairman of the Democratic National Committee, asking for volunteers to become a part of Roosevelt's New Deal, Verda and her daughter moved to Washington, D.C. She quickly became involved with organized labor, in the Department of the Interior, and the Securities and Exchange Commission. She also became active in the Young Democrats and became national vice-chairman for the organization during the Roosevelt era. During this time she became friends with Franklin and Eleanor Roosevelt. <br><br> In 1945, she began working for newly elected Idaho Senator Glen Taylor. Later, she joined the staff of Frank Church, who was elected in 1956. She first served as his governmental liaison and then as his chief of staff. In that position she became Church's chief political strategist and the de facto chief political strategist for the entire Idaho Democratic party. Without Barnes' tireless political efforts, it is quite likely that Frank Church would have been a one-term Senator.","Reeves, Troy. ""Verda White Barnes: Undeserved Anonymity."" Idaho Yesterdays 47 (2006) 48-67.|Peterson, Matty. ""<a href=""http://www.ridenbaugh.com/index.php/2012/09/05/peterson-the-case-for-barnes/"">Peterson: The case for Barnes</a>."" Ridenbaugh Press, September 5, 2012.",Mike Bullard,barnes.jpg,https://journals.lib.uidaho.edu/index.php/IWI/verda-barnes
iwi-0,Mary Brooks (Elizabeth Thomas Peavey),1907-11-01,2002-02-11,"Colby, KS","Twin Falls, ID",Politician,"The daughter of a U.S. senator from Idaho, Mary Brooks served as an Idaho state senator from 1963 to 1969. She served as the Director of the U.S. Mint from 1969 to 1977, and when she was appointed by President Nixon she became the third woman in history named to the post. Her son, John Peavey, served over twenty years in the Idaho senate. Mary is a University of Idaho alumna and recieved her bachelor's degree in economics in 1929.","The daughter of a U.S. senator from Idaho, Mary Brooks served as an Idaho state senator from 1963 to 1969. She served as the Director of the U.S. Mint from 1969 to 1977, and when she was appointed by President Nixon she became the third woman in history named to the post. She oversaw the production of the Eisenhower dollar coin, as well as the design of the Bicentennial quarter, half dollar, and dollar coins for the United States Bicentennial. She is credited with saving the original San Francisco Mint building, known as the ""Granite Lady,"" by transferring it to the Treasury Department. Brooks was awarded the ""I Left My Heart in San Francisco"" Award in 1974 for her preservation efforts. <br><br> In addition to her political appointments, Brooks took over her father's sheep ranch after his death in 1945 and ran it until her son took it over in 1961. Her son, John Peavey, served over twenty years in the Idaho senate. Mary graduated from Gooding High School in 1925, attended Mills College in Oakland, California. She transferred to the University of Idaho in 1927, where she was a member of the Kappa Kappa Gamma sorority and received her bachelor's degree in economics in 1929. <br><br> During her tenure as Director of the Mint, Mary famously led a tour of the U.S. Bullion Depository at Fort Knox, Kentucky for members of Congress and the news media on September 23, 1974. Additionally, she was awarded the American Numismatic Association's Medal of Merit in 1988, and was the first woman to recieve the United States Treasury Department's highest honor, the Alexander Hamilton Award. She was inducted into the University of Idaho Alumni Association's Hall of Fame in 1970.","<a href=""http://www.usmint.gov/pressroom/?Action=press_release&amp;id=285"">In Memoriam: Former Mint Director Mary Brooks, February 25, 2002</a>, United States Mint, February 25, 2002.|<a href=""https://news.google.com/newspapers?id=m_ZQAAAAIBAJ&amp;sjid=ksEMAAAAIBAJ&amp;pg=6920,3216394newspaper%3D(Dubuque)&amp;hl=en"">Grandmotherly Brooks loves to talk money</a>, Telegraph Herald, October 26, 1976.|<a href=""https://news.google.com/newspapers?id=ysolAAAAIBAJ&amp;sjid=HPMFAAAAIBAJ&amp;pg=3134,1317217&amp;hl=en"">Woman director of mint brings in cash for U.S.</a>, Miami News, November 3, 1971.|<a href=""http://www.mysterycent.com/bio_mary_brooks.html"">Video of Fort Knox Tour in 1974</a>|<a href=""http://en.wikipedia.org/wiki/Mary_Brooks"">Mary Brooks - Wikipedia</a>",Mike Bullard,brooks.jpg,https://journals.lib.uidaho.edu/index.php/IWI/mary-brooks
